,AAP,ABBV,ABT,ACN,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BLK,BMY,C,CAT,CELG,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NEE,NKE,ORCL,OXY,PCLN,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,USD,UTX,V,VZ,WBA,WFC
AAP,0.006882694723279472,0.001365430612224347,-1.4333461196539876e-05,0.00045267392315397867,0.00017331334081373682,0.00045830206479604164,0.0005539243836221587,0.0006690751778462794,-0.0015295581658115618,0.000499011416859151,0.0006683792105532332,0.00217430324000966,-0.00021818065038943613,0.0005288519467136239,0.0009117407325611961,0.0016683834377482613,0.0010204963674697901,0.0018448443475267572,0.003403960280304333,0.00015744940156077415,0.002548431855503414,0.0012281363619624291,0.0020422279213603953,0.0017079916814519733,0.000523391020863234,0.0007654374746444561,0.0016693471237815023,0.0001823210585985628,0.0014863721236349193,0.00025681324413144005,0.0015466151054995432,0.0008000915878419927,0.0004734889592555609,-0.001102833288192223,0.0010471728539285787,0.0010804999179503494,0.0010436366867079764,0.0021411735446124243,0.0022345576261580155,-0.0006997535063335484,0.0008002801783666798,-0.0003444419661138347,-0.00033013411727558523,0.0025255677967642087,0.003600392000478901,0.0009989048595092167,0.0008418989045535629,0.0011645573895114915,4.439924058986424e-05,-0.0002254061571233861,0.0011325493736661688,0.0030941722381898104,-0.00040809399950504795,3.6664521143174215e-05,0.0011844290959830979,0.0018568928725860656,-0.000547070443576529,7.980066981975567e-05,0.00017367599191469714,-0.0007498247461045918,0.0017348534216004537,0.0006573114838098628,0.0007767401262626138,7.747147902493095e-06,0.0017694516930885935,0.0021607773809539264,-0.00040448676815463345,-0.0006503913606443634,-0.00036946966957495465,0.000287185346184351,0.000791428228433929,0.0011363133524168194,-0.00018776832143089532,0.0013004140814205354,0.00011524419774065871,-1.0798683816375422e-05,-0.0015638452891925665,0.0019094488521657989,0.0011889342919156407,0.0017736704751919994,0.002662323088195095,8.64909355669682e-06,0.0014589782967325798,0.0027182054390012555,0.0026563467575904847,0.0018385838103778431,0.001207218075769672,0.0015402988530071405,0.0025357307875289847,0.0014814289478643048,0.0011883784631423933,0.0012736186580218497,0.0010588562878546314,-0.0012109402717742441,0.001980064297364373,0.0016147397612568286,0.0015437938944268999
ABBV,0.001365430612224347,0.003731866317021755,0.0014212736817499657,0.0002465506411607214,0.0002251195160956085,-0.00023699655024630355,6.398800372926604e-05,0.002175219705829637,-0.0001406640023296182,0.0016254668668789106,0.00044676427492009867,0.0015525254989737802,0.0018761632023177753,0.0004035640817231099,0.0012997646648349565,0.002771935353245723,0.0016174589429117415,0.0012094529520000046,0.002910662563114574,5.982844288400389e-05,2.338293244966216e-05,0.0010019630972717508,0.0020717600225948736,0.00022107071294884283,0.0008996167398804896,0.0007007712288538253,0.0008622284161250176,0.0003979887453793025,0.00015141784745767477,-0.0004425245936415061,0.0011430097542828583,-0.0002586336059607336,0.0011955461511210322,-0.000900815824072811,0.00136861996171113,-0.00013513540851813866,-6.135852288235024e-06,0.0009833215863171525,0.00016948884551964958,0.0009137532348843889,0.0014056220111080798,-0.0002781468583359544,-0.00018963642048678818,0.001040013626983601,0.0015233938357172617,0.0012493028721220632,0.0005762772669500601,0.0007877032088999747,0.0006551267072894038,0.00019107672191995815,0.001191979231056751,0.0007824129125402309,-0.0006084836816671432,0.0014293386337516617,0.0003631824939713264,0.001304958116504488,0.0003384084215969021,-7.36624642928011e-05,-0.0004928678987205801,-0.00014712480545962908,0.0012336007286007824,0.0008431546144980878,-0.0002738400110479191,0.0008553195268280969,0.00047900848190066575,0.001161303952416317,-0.0003729385875616089,-0.0009925121656354048,9.983320459906804e-06,0.00015365869998785542,0.0007252450589068915,0.0004582209830321053,-0.00029599945483020147,0.0020318273278455666,-0.0004000916494012938,-0.0007080550590073461,-0.00016946878961383781,0.0011750687703492987,0.00021944569536813587,-0.00015828927260000227,0.0007930578169234967,-0.0004697268349314382,0.0011837888933363034,0.0009332422353525698,0.0007011289151435512,-0.00018652701415785127,0.0005967284911204228,0.00048586945308361435,0.0024149641097938506,0.000966445194585652,0.00031934216928941714,0.0016124482352099176,0.0006883787393507963,-0.0002971968352792811,0.0004295643894106784,-0.0007308210816015638,0.001195482613070671
ABT,-1.4333461196539876e-05,0.0014212736817499657,0.003161335840356587,0.0005300010190208176,0.0021121510826678396,2.2497863595508183e-05,0.0006556677675078539,0.002111726059788052,0.0008259442275406574,0.0015724768958014597,0.0012843831236466561,0.0006720797589528832,0.0015354884497378674,-0.00010723788828070598,0.001103469459091522,0.0011007521326540154,0.0005220772199104511,0.0013907585301209324,0.0016205220803282294,0.0006407614599678818,0.0006489304635241845,0.0007096987724560234,-5.736891896002577e-05,0.001331754964778121,0.0015896691785421883,0.0003636648828950934,-0.00011734429084532607,0.0010377537662202788,-9.899230611948263e-05,0.0005229233659109247,0.0011963753489891934,0.0007334543355891063,0.0009050240757415577,0.00029341541545158464,0.001395704116979261,-0.00038684551849107074,-0.0005889128361292751,0.00014792811380266385,5.412437067834761e-06,0.0011815739511968817,0.0013791130446824229,0.0010792745534532221,0.001211004328546373,0.00018291929966688443,-0.00036963876419225715,0.0011785859401042386,0.0004451095460360192,0.0016513193869139898,0.0014022047988748393,0.0004615113004594712,0.00023225301114649201,-7.305256942198888e-05,0.00013644297423987922,0.0014630387114900043,0.0002581797638512134,0.0011004425612699958,0.0009980410277367993,1.8282283694987297e-05,-0.0005182948965059934,0.0005565368007182886,0.0005084695681221808,0.0005101022169487575,-2.3857506740073858e-05,0.0007290323205563856,0.0005423211643960681,0.0006664528277817748,0.0009988526872176371,0.0001709775525795107,0.00040690624624894204,0.0006882580785627304,-0.0009600184423645539,0.0011529171140930617,0.0005701645776922217,0.0008334019800764681,0.0003546664852125976,0.0006948180124848659,0.0002436749589862303,0.0011848028531289514,-1.1005891720926734e-05,5.151829926767593e-05,-0.0007525498160972151,0.00033999107752129206,0.001292513424223236,0.00021250123333719343,4.471904191976184e-05,-0.0005315175247875757,0.0011600932521704077,0.0003075897825719538,0.000778172484810134,0.00020717594440836687,0.00014488703890233923,0.001299394671992254,0.0007138681906046346,0.0008216565584442963,-1.9437023617413466e-05,-2.6783431778462113e-05,4.5418945034582407e-05
ACN,0.00045267392315397867,0.0002465506411607214,0.0005300010190208176,0.0018581026635981531,-0.0002022838099872554,0.0008944361208142492,0.0005263324688303081,0.0006810440596807067,0.00046072521649733784,0.00038975131562510773,0.0005069504617531298,0.0008906595155763992,0.0005380797395052446,8.096863418246052e-05,0.0008543760786779037,0.0003358787012832079,0.0006518279281493801,0.0009456770396521655,-0.0007025051105372999,0.0005889556215777796,0.00035554068105104054,0.0010418019548892774,0.001195499687596487,0.0006383773849533733,0.0005002220792541698,0.00015196612157277104,0.0006804808782302216,3.621778774514788e-05,-0.00011178495902082602,0.0005719362061987901,0.0004966175644205278,0.00041553047576812385,0.0003400124829928688,0.000607527683479162,0.0010051609487059967,-0.00031004556889681383,-0.0004490469715607245,0.00017359212664559158,-0.0003150761802500151,8.785507210111186e-05,0.0006298928342655046,0.0010428896164424188,0.0010076249677183947,0.0006027960791296701,0.0002913584245904684,0.0005907826105763926,0.0007015925918245817,0.0005966860398362332,0.0010639587689789496,0.0001051754195084033,0.0004415351612981645,0.00021843085553260446,0.00037803869637339073,0.00014008894754546537,0.00014014689871928683,0.0008706748344663413,0.0007447367140543842,0.0007634480775227034,4.104531666595254e-05,-0.00015259119698229798,0.0009629323597328781,0.0004975985863812929,-0.0001899314231361902,1.80952677170468e-05,0.00027948353792854304,0.00044200230903761303,0.0008151501107908167,0.0002325690313186073,0.00020291953632168192,0.00046732443762850047,-0.00011992617659022548,-0.00020026792828033128,0.00026870189960452015,0.0001975704628117732,9.101430193185957e-05,0.0003521890777190256,0.0007974620391575478,0.00019591475727366524,0.0002237697227441404,0.0004420993004697691,-2.374254048810964e-05,0.000526652077971733,-1.646847215506891e-05,-0.00010284039843782497,1.7909958654905899e-06,0.0008046376617435347,0.0005432646518998994,0.00035687711112709084,-7.81912669733288e-05,0.0004071456441808076,0.00045388243973543927,0.0024065338473317596,-0.00021064753047224326,0.0007077226990642138,0.0005985021678446866,0.00023213569038347458,0.00018773100816861523
AGN,0.00017331334081373682,0.0002251195160956085,0.0021121510826678396,-0.0002022838099872554,0.006314557384569082,-0.0006517825071339979,0.0008911954863396899,0.002140012643659034,-0.0004820596730202297,-2.921398077736984e-05,0.0004221135947342776,-0.0005244637040260383,0.0015639893796333924,-3.2999863869445576e-05,-0.00019582252482610161,0.0007861478443947853,-0.0003176206040234207,-0.0006155061254847913,0.0030861578174099713,0.00021475472719139878,0.0007707099547535044,9.831220336344183e-05,-0.0031423518535258917,0.0012466406676605582,0.0017737711883698535,0.0014305005623739926,-0.0011569456808522215,-0.0003513122133975647,0.0003186221735993591,3.679648556739046e-05,4.3474263081932444e-05,0.00017545357997411252,-0.0004707800541056275,0.0003764425362766292,-0.0003884659220518586,-0.00016079267348993734,-0.00034125134615278915,-0.00034213826835900935,0.0009522371286022895,0.001524030454184147,-0.0004588770914465476,0.0008526196862133498,0.0009898480689946706,-0.00030311311587560635,-0.002446419532941042,0.0004933973955212289,7.048776050048623e-05,0.0006778013673993299,0.00016564165916544394,0.0002005767033550719,0.00024494301364626594,0.0009140232615529818,8.13055307395817e-06,0.001616041910428219,-0.0005640494706409827,0.0006628870155930938,-9.88323802096362e-05,-0.0006410472852556627,-0.0002292613555915704,0.0003977369457084488,-0.0008593043040747699,-0.00017297562212164168,-0.0002079872412692912,0.0012809953606259525,0.0006056666369060168,0.00024630832092124887,0.0008195105592061755,0.0001752228042253569,0.0010893841481074203,0.0006030438905141705,-0.0014741534441381342,0.0010606245649780294,0.00066426616097401,0.0006092145198512676,0.0009822117016425424,0.0010083815724622797,-0.00016303558507446147,0.0009970517410187632,-0.0001934968965833417,-0.0006296625699916897,-0.0012794393598320071,-0.00040122349713502887,0.0009503888192903823,0.001180209048034855,-0.0009778852494713264,-0.0006632294863015767,-5.609526154917814e-06,-0.00034969120452126696,-0.0007715920559970168,-0.0005017311272210366,-0.0003342243695647941,3.1148340206752407e-06,9.370607360717918e-05,0.0005642814969451055,0.0003772404708114608,0.001059246927830923,-0.00029792917233226125
AIG,0.00045830206479604164,-0.00023699655024630355,2.2497863595508183e-05,0.0008944361208142492,-0.0006517825071339979,0.002392876951580959,3.029687994026578e-05,0.00013259843688763213,0.0008337080244596988,0.0015296498687451,0.0011135397066326341,0.002977018277092468,0.0007978273639473998,0.001478927305186428,0.0011593842074392325,-0.0011550192850058837,0.002427813528998361,0.000386442358774153,-0.00030294123805145337,-0.00034344697447217197,-4.544472847320732e-05,0.0020600037476016693,0.0021506377746524433,0.0002510305320235217,-6.148376113585254e-05,-0.0005028476711001416,0.0007760547830378482,0.00020478192008543635,0.0005830061993410817,-0.00048194645199735656,-0.00013114227955057548,-0.0002760821105544583,0.0006202728746384512,0.0004919605192904611,0.0008718799801846787,0.00011193126449029994,0.00012905200558850307,0.00041143846093318385,-0.0003269812777468198,-0.0004682465686489897,0.0011189723362174753,0.0009605696108716191,0.0009030791817543381,0.0021529571371103236,0.0011643691195617751,0.0003858689150768583,0.00013826811370760506,0.00047777388795529037,0.0011848496503300437,-0.000509455532768637,0.0015252906970425549,-0.00016798033601956073,5.237830143292065e-05,-0.0002374980550376008,-0.00020565435691236573,0.0005220525780699015,0.0010857810339719204,0.00020192776188692355,0.0007508826678356327,-0.0005825736664398024,0.0021584425759481655,-0.00016926251796315508,-0.00036754040185390873,0.0007026628918334259,0.00026196119470064944,0.0024985582616224252,0.0010277685620143774,-0.0006251941325235999,0.000481884897740754,9.020731592758942e-06,0.0004773521038792015,0.0003724442242630816,-0.0001568958933281592,-0.00015580950794638292,-0.00040130200042917343,-0.0004193092903406752,0.00017642497386371933,0.0005370752569463047,-7.388952155557717e-05,-5.890115730106782e-05,0.00038144573765513116,-0.0002008472197588024,-0.0006563574870673085,-0.0008954192175859742,-9.07922684420796e-05,0.0010844580233854008,0.0008303555286374354,-6.181213698102331e-05,3.1907537418640884e-05,-1.5892555002172715e-05,0.0015128009938401685,0.0029154633081868364,-9.634985219451871e-05,0.0007578558201709854,-0.0004994549517429262,-0.0002466655007192453,0.0016112396847751675
ALL,0.0005539243836221587,6.398800372926604e-05,0.0006556677675078539,0.0005263324688303081,0.0008911954863396899,3.029687994026578e-05,0.0009249434929739528,0.0002727835532871257,-0.00023130299198297242,0.0001746794948948651,0.00044340543136421883,0.00014150399988104817,-0.000639896424228355,9.53203415748462e-06,0.0004263532316963422,0.0005512398182800913,0.0002074483701611973,0.00043651358353007254,-0.00015604250835220629,0.00048446076116872894,0.0005046454036776964,0.0004935297041444739,-0.00011305534987754663,0.0007036032932690669,0.0006886022350980515,0.00018484996023409247,0.0001796899406652202,0.00028121517581972843,0.00016493836458187578,0.00039130318472393083,0.00034828232751337866,0.0006246854050480895,0.000272436936974602,-0.0004368254334809838,0.00039546128567715354,-0.0003586272349666772,-0.00043027526032763275,0.0002551735846799759,0.0003024410162316955,0.00029490876498489897,2.0840289730261355e-06,0.00016831598050149018,0.0001599623191448644,0.00034717552264724647,0.00033111162406556494,0.0003042758904857621,0.0003536031265097793,0.0006634819240039149,0.00044816465048617277,0.00031879412750928515,0.00019988012851302178,0.0005110290967669007,0.0003722247381394334,0.00025361282724164434,0.00025560498525764943,0.00024969155625112927,4.232056532203031e-05,0.00016409528510454564,3.6717923285639296e-05,0.00010471058688818344,-0.00022913977859649853,0.0005906660887791571,0.0004756774048477788,3.6819644074375486e-05,0.0004204746650661744,0.0002851903019937071,6.358710811483699e-05,0.00030864827327993705,0.0005614491769376328,0.0005183994447677976,-9.392935890582185e-05,0.00043915127072272075,0.0003349287280949342,0.0002002795617185858,0.00022377598367308697,0.0007140672588239214,7.496961773033801e-05,0.0003108542771660247,0.00019271615273981055,0.0003828555125697504,-4.227598947589148e-05,0.0003214033572481629,0.0003137591696886098,0.0005329329640285731,-6.928139544209974e-06,-7.906316936389972e-05,0.0002822773947488454,0.00020155076019103365,0.00010333108042740024,0.00032864267386030905,0.00012692606339024306,0.0010349792432369626,0.0002957839665868573,0.00019909884686733481,0.0007474792855773759,0.0004732935299113597,0.00014442820078851488
AMGN,0.0006690751778462794,0.002175219705829637,0.002111726059788052,0.0006810440596807067,0.002140012643659034,0.00013259843688763213,0.0002727835532871257,0.003749207102283469,0.00027079203090463216,0.001353946945977167,0.0011652082859908198,0.0020690181582301956,0.002998321862044451,0.0006222844013530226,0.0012501423686517646,0.0022008806944921644,0.001531817146824401,0.0009755261663560094,0.0031220129782273697,0.0006233129718408685,0.0003371791029826567,0.00143756246097129,0.0007157357602107241,0.0009082679816439698,0.0010218413357557601,0.0010478156276503199,0.00042647803071230644,0.00027784836950399915,0.00012551054781504824,-0.00015297639921062778,0.0010725372003744342,-0.0003131524577496415,0.0007863597957000919,0.0003958007241056921,0.0012082149147754832,-0.0002846171194081904,-0.00028333166322268315,0.0008446816304058767,0.00042782250795668237,0.0009565720371046177,0.0015700671225671499,0.00030769512531581873,0.00041844635952360246,0.0012797420828352451,0.0002477823159457715,0.0014028913747337693,0.0008204149482094377,0.0008688820630763492,0.00035720055633169746,0.00038735654352818383,0.0014700334733653566,0.0005314655529506466,-0.0005288246698456799,0.0019964247548707424,0.00017925070843111658,0.0014245216440249727,0.00041527755347697804,0.00021710060704592296,-0.0006149266171545637,0.0006176454336858871,0.001052363990313501,0.00035982193862953745,-0.0003742907281452268,0.0010569995968541025,0.0012063391072929036,0.0017159824530906607,0.00014023918473437944,-0.0005674074275923355,0.0012052143044356898,0.0005770847012520279,-3.880470462612009e-05,0.00045758809236410604,0.00021327595592776698,0.0016275252134560392,0.00045182090237450923,0.00030984199731539774,-0.00033147222710827574,0.0001483213061250562,0.0006047511337397567,-0.0002165333239790638,0.000335536321103156,-0.0003785113158845853,0.0014276806004642915,0.0008911461814999187,-0.00026443605812703254,-8.578352621323653e-05,0.0002165999831709673,0.00014972545382914396,0.0014058964444061694,0.0002955164490016493,0.0009096650288724531,-0.00041867258783939416,0.0003564744824758783,0.000583452158653754,0.00024044498473704796,0.00013734458818700376,0.001246476558732111
AMZN,-0.0015295581658115618,-0.0001406640023296182,0.0008259442275406574,0.00046072521649733784,-0.0004820596730202297,0.0008337080244596988,-0.00023130299198297242,0.00027079203090463216,0.0029970010554023685,0.0008441375498883336,0.0005612587319221764,0.00036649792055499375,0.0006360434159970738,-0.0002836395125247443,0.0006014315290948962,-0.0005507878768612114,0.00022753335452645936,0.0006322257265924271,-0.001974170402954162,-0.00013874464587218524,0.00023016807887299355,0.00018755713337084587,0.0013480392268530605,0.00012641691634389472,0.00012213365462496601,-0.001238594800389828,-0.0002112441774540684,0.000591422755071249,0.0003742890554355748,0.00011065394261954966,0.00012032344701495204,-0.00013307303935065857,0.0004700820699961706,0.0010612100012607163,-6.724409584809963e-05,0.00011826597690304412,-4.182444780179282e-06,-7.292036582206265e-05,-0.0014921968357420746,-0.00039668382558899685,0.0006674038219540722,0.0009233904013171787,0.0009302243455180947,-0.0008461449584406703,8.277189919759962e-05,0.00027112907026878623,0.00016554100951832212,0.0003844944696078664,0.0017384325146860334,0.0002716270092666284,-0.0001860333182084408,-0.0004572655399048361,5.0831388965266065e-05,0.000713723486108833,-0.0002841909203639429,0.0005545275289036252,0.0007946126364078313,0.0002497340626134644,0.0006241072626099551,0.000935049123258718,0.00018435535967221584,4.277805314350325e-05,-0.0004548955548499539,0.0008991122890420821,-0.0004209616845182461,0.0003234897821035637,0.0006678237851372494,0.00018164208100086593,-8.092831030748119e-05,-0.00010963191480381014,-0.0002236080425968226,0.0007427093005031718,0.00035271805648628404,0.0001295063446542249,-0.00036915341498845234,-0.00010082961195346432,0.000827915321577093,-0.00022866932120454528,-0.0005972532408288931,-0.0003655576969484277,-0.0005045083343515767,0.00028251198657425116,-0.0004586029365385014,-0.0011585096419503176,-0.0010852641539152027,-0.000751356739046807,0.000672279612278181,-7.941431453288317e-05,0.00033397008658882075,-0.0007155375433219657,3.3823462945389405e-05,0.000635969164332463,-1.2266537670886682e-05,0.0009705180296429112,-0.0011477602630254392,-0.001246086319458152,-0.0006489721813594569
AXP,0.000499011416859151,0.0016254668668789106,0.0015724768958014597,0.00038975131562510773,-2.921398077736984e-05,0.0015296498687451,0.0001746794948948651,0.001353946945977167,0.0008441375498883336,0.003971576416192764,0.0024288080456497615,0.004174793210680967,0.002073065520863466,0.0023213239830370274,0.0018115665903712995,0.0015206125679247371,0.0035353923139686324,0.0021025699472791157,0.0023014459609927325,-0.0006515376964401212,3.671204950100297e-05,0.003054422658960088,0.0034474008558801937,0.000486589109969491,0.0016093499663570499,-8.669261217211832e-05,0.0012195977106641146,0.001079334358088711,0.001206987141468768,-0.0008934053681458357,0.0012411133346977286,-0.00025861621959754103,0.002231404588587383,-0.0006551106255750979,0.0025129874174859225,0.0006090147951457387,0.0007816037990716058,0.0009924163191910407,0.00020123510510730136,0.0014630849270135622,0.0025247352417064437,0.00013394570829899268,0.00013429620198502582,0.003128042629143235,0.002080041148972351,0.0012027354331540442,0.00031447665165983975,0.0018102770336234722,0.0010208592816311742,-0.0004073244220528624,0.0024883161483506265,0.0003990227740775928,-0.0003981974492600068,0.00027379334903466465,0.00043111465667230005,0.0010964091429477832,0.0013729092833265463,-0.0002026218014307779,-0.0003103768963694982,-0.00028933530854222676,0.00259967506387679,0.00028323809774720736,-0.0006412806058025221,0.0012455673480652812,0.00033884010094170365,0.0038405277481217896,0.0003800747551185828,-0.0012142048070768474,0.000619370599884476,0.0005998259313086642,0.0006432609045959161,0.0021491622144216714,-0.0003258405991327932,0.001164925995779851,-0.0009331783924631021,-0.0007342984093064928,-0.0001861000571763439,0.001347810055920806,-0.00028127027110793425,-0.0006345102208845291,0.00020636492533267304,-0.0007557807198785197,0.0005127603291432581,-0.000995242919297654,0.0006575363507302833,0.0003488397489202772,0.0008976647755002238,0.000905824069698076,0.0020362814571860165,0.000785257894511321,0.001776521133602544,0.002118309320587427,0.0015163318486029291,0.0004332058859810019,-0.0012828436240200942,-9.755810225568905e-05,0.002271969130450925
