,Weights
AAP,3.08817070214128e-08
ABBV,0.01974417203252868
ABT,5.843558123542809e-08
ACN,7.759168874202736e-08
AGN,4.5036924607545496e-08
AIG,1.003212820997496e-07
ALL,0.048193871872321874
AMGN,4.92562684722292e-08
AMZN,0.09266086024943496
AXP,1.5109124521291065e-07
BA,6.463116894989723e-08
BAC,1.6695936649517423e-07
BIIB,6.9197301169728e-08
BK,0.011416727183598926
BLK,8.197114189808833e-08
BMY,3.3096344339870724e-08
C,1.1920097859784052e-07
CAT,2.1071999716015526e-07
CELG,1.1871372194630641e-07
CL,9.281108540399794e-08
CMCSA,9.938476099896783e-08
COF,6.923450170068663e-08
COP,7.701225902630288e-08
COST,5.613513272198393e-08
CSCO,3.932334639661849e-07
CVS,1.3717079063422805e-07
CVX,2.0137214956916376e-07
DHR,1.4760832899979564e-06
DIS,1.2896027784801864e-07
DUK,1.1869217829511859e-07
EMR,3.526444240186534e-07
EXC,1.9141049468824448e-07
F,6.749511328209685e-08
FB,0.04546662587180115
FDX,0.06615319671948403
FOX,2.6655726774675294e-07
FOXA,5.945890118153499e-07
GD,2.269563084559443e-07
GE,0.006060217931126941
GILD,8.665874451295702e-08
GM,9.994369728367144e-08
GOOG,8.810363525062329e-08
GOOGL,8.058424944246085e-08
GS,9.773227016876654e-08
HAL,3.320380284198224e-07
HD,1.5805549788113116e-07
HON,2.0672457729876606e-07
IBM,2.575843072537463e-07
INTC,1.235528156338496e-07
JNJ,2.3709045436121648e-07
JPM,0.10477043314798115
KMI,0.0003891373182507612
KO,3.5237919250749483e-07
LLY,6.89605781879774e-08
LMT,2.42594356770176e-07
LOW,7.06542882921224e-08
MA,1.5646682441319288e-07
MCD,2.3042921821476547e-07
MDLZ,1.1841575279551552e-07
MDT,9.018942159914661e-07
MET,1.2317446803036197e-07
MMM,2.1784966089896673e-06
MO,1.2926404479874905e-05
MON,0.012662260193560131
MRK,1.336082923837253e-07
MS,1.2720100413937256e-07
MSFT,6.345271875039999e-07
NEE,0.20675577749455398
NKE,7.392626608317316e-08
ORCL,5.170691885019214e-07
OXY,6.080696431743163e-07
PCLN,2.276246045094675e-07
PEP,1.3665249427108415e-07
PFE,7.192187552084728e-08
PG,3.3070762514789544e-06
PM,1.6717580244762045e-07
PYPL,0.0976523040579192
QCOM,1.0126291427531126e-07
RTN,0.1814509916896292
SBUX,7.613104204457908e-08
SLB,1.4682298887820797e-07
SO,1.7171481460044063e-07
SPG,8.105525608342963e-08
T,0.05639900597846559
TGT,6.783261807919923e-08
TWX,1.9661983342522684e-07
TXN,0.03296857171803355
UNH,0.0053922622243496275
UNP,3.791931277960541e-06
UPS,2.234186273733724e-05
USB,2.183903829319814e-07
USD,8.622946875811299e-08
UTX,0.011804641327311136
V,1.7360794108271216e-07
VZ,1.0371208369752767e-07
WBA,1.1121015562377156e-07
WFC,2.0496804775217497e-07
