,Avg,Std,Weights
AAP,-0.03648187654166666,0.08296200771003238,4.3439572973379247e-10
ABBV,0.013259273291666665,0.06108900324135069,1.753619201815725e-08
ABT,0.005761946374999999,0.05622575780153245,1.1744866723261787e-09
ACN,0.011961465333333332,0.043105714976069624,1.0520257803386977e-09
AGN,-0.028646957666666667,0.07946418932178873,1.1132642194430718e-09
AIG,-0.000517422166666668,0.048917041525228806,1.9036810695207016e-09
ALL,0.01738158183333333,0.030412883667517505,1.7066505344087078e-09
AMGN,-0.0008576562499999982,0.0612307692445838,8.175484577227371e-10
AMZN,0.021568516416666666,0.054744872411965385,0.04858564184169159
AXP,0.009636148333333332,0.06302044443030186,9.297516666833728e-10
BA,0.023581113041666667,0.06704404883264728,5.188627591403173e-10
BAC,0.015761479249999998,0.08809495777315143,8.874727758504737e-10
BIIB,-0.0035044930833333337,0.07434847239167212,0.00510185373913356
BK,0.0056096905833333335,0.05481498188021599,5.093180895793983e-09
BLK,0.008253709166666666,0.044837418939672025,1.2006053459060824e-09
BMY,-0.0018125012500000003,0.0866452247456236,1.6575358450773944e-09
C,0.0070402467500000005,0.07165229986220392,1.3131128369749497e-09
CAT,0.02697144691666667,0.06501278384426971,7.67908512395622e-10
CELG,-0.012223639791666666,0.09618792296857509,1.3332026260845561e-09
CL,0.002211295458333334,0.04115542170591337,1.4801873445102438e-09
CMCSA,0.0048857144166666675,0.05281940838073616,7.042929606079734e-10
COF,0.0013934858333333336,0.06784762155309214,8.189786314681727e-10
COP,0.00046798704166666855,0.09025754361176098,6.262754274195089e-10
COST,0.0017918260416666676,0.04854678341956698,5.970192754518237e-10
CSCO,0.008187698875000001,0.05213159765169731,7.359069901950321e-10
CVS,-0.015707099125,0.04785606702290839,1.4507923842757309e-09
CVX,0.006715907958333333,0.04354590664541159,1.2210773108543646e-09
DHR,0.009699799666666667,0.03318565211408092,3.729139871970439e-09
DIS,-0.008287904958333335,0.04201674052326324,9.045727815363129e-10
DUK,0.011002077541666667,0.04737273687301116,2.262879791245223e-09
EMR,0.010175474624999998,0.04630408600211629,1.9482766571408997e-09
EXC,0.01742307125,0.049807222883160904,1.1445034589123907e-09
F,-0.011749243291666668,0.04223382982941304,1.7012277471405248e-09
FB,0.02072313866666667,0.05319968220577467,2.0721748707914963e-09
FDX,0.013977588708333336,0.05716517685808695,1.5849094362364846e-09
FOX,-0.014120054291666668,0.05514195737640615,0.011770042126232689
FOXA,-0.012180287124999996,0.0550438595916905,0.06201846353945884
GD,0.00988218308333333,0.047836514428961176,1.4070204272667918e-09
GE,-0.018290843166666668,0.05093560493397823,0.12239216356483523
GILD,-0.016908152416666666,0.05863237442001323,0.0468538353190777
GM,0.007300317749999998,0.05086444315479135,1.3268109084258637e-09
GOOG,0.01151554745833333,0.046516345146634414,2.2176451062897802e-09
GOOGL,0.010711326499999998,0.04793353430114552,2.171764058025005e-09
GS,0.005255858166666665,0.07457352242396953,8.772614261599665e-10
HAL,0.003070701749999997,0.08538709436237332,8.359193569386705e-10
HD,0.010258391166666665,0.04400782298525033,1.3737713081936652e-09
HON,0.011432922541666666,0.025458355501357607,1.3643703764296775e-09
IBM,0.0030521984166666676,0.05150821241794033,1.5451055959033372e-09
INTC,0.012195806458333333,0.058868335246591234,2.2016346619125777e-09
JNJ,0.011513292416666666,0.032739612170291615,0.00021122842275157067
JPM,0.013473136625000002,0.055929577712789856,3.469398866073352e-09
KMI,-0.002881861749999999,0.1022598957802404,4.946382152957136e-10
KO,0.003713032958333333,0.02619187505350703,0.08279808999614109
LLY,-0.0023505246666666656,0.052930781713581204,1.4806568622444229e-09
LMT,0.012652755500000001,0.03389069996070489,1.1385391090770653e-08
LOW,-0.002436498041666666,0.05037359179623004,1.0952133462147936e-09
MA,0.015615817250000002,0.04064688499925387,1.4713851274730263e-09
MCD,0.016232522208333332,0.03778636051269554,1.0035559441662076e-08
MDLZ,-0.0037676695000000014,0.04252772104327406,2.3270158366847124e-09
MDT,0.003867851458333331,0.041211630649558725,0.04786523267192071
MET,0.0012876452916666659,0.06652496826476748,0.013417976823319014
MMM,0.014773386124999998,0.03519177061611857,2.5364605741117233e-09
MO,0.0040743657916666644,0.048599197298749904,0.023840217795780508
MON,0.009194595458333333,0.049957824550326824,0.05221102249809441
MRK,-0.004505364249999999,0.0448421208699085,9.037810240791539e-10
MS,0.010490062708333336,0.0827861755434787,7.820009157390321e-10
MSFT,0.018957655416666667,0.04734901543527743,0.04321966824038209
NEE,0.02044024345833333,0.044529653378789696,1.751008362123396e-08
NKE,-0.009779489999999997,0.05440924512141811,2.5574981286246737e-09
ORCL,0.010668362708333335,0.039273596918215505,1.7073975992696303e-09
OXY,-0.0045814358749999996,0.04801631064510265,0.13001298343517265
PCLN,0.008945868541666667,0.07159870335217507,4.868042766528058e-10
PEP,0.005372087708333333,0.030423817800827514,1.9667352028085117e-09
PFE,-0.0008279836249999998,0.044616295984890086,1.4211741231408483e-09
PG,0.0027045740000000026,0.030641994980975234,0.14275687187284622
PM,0.007130367208333328,0.04844867601260803,8.326597850893736e-10
PYPL,0.029514156249999996,0.053864559398167554,0.10314759461100752
QCOM,-0.002458035999999999,0.08181360164774797,1.753294143038517e-09
RTN,0.017942127625000002,0.0382103797881088,0.00015964317760785974
SBUX,-0.0056274959583333325,0.04728178702466966,0.06363714884997215
SLB,-0.008129726666666667,0.055175580887067144,1.573681197003921e-09
SO,0.007814142291666666,0.04169709791908803,7.810691215168901e-09
SPG,-0.015100268958333336,0.04894113890272344,3.3720975307601024e-09
T,4.457058333333259e-05,0.05543584143077255,2.894439449880219e-09
TGT,-0.011950811958333337,0.06616279730507836,1.2196157442331108e-07
TWX,0.006435247541666665,0.05135996191818376,1.0209825787365125e-09
TXN,0.023851382333333334,0.04339781269828996,1.7847511064880648e-09
UNH,0.0189770625,0.03934280005596765,1.2401591661241809e-08
UNP,0.009909559791666668,0.06426447550623618,9.631248891778192e-10
UPS,0.005439399833333334,0.036285133201225964,4.459847301396613e-09
USB,0.007693225583333334,0.04443570412938423,1.5182017129068834e-09
