,AMZN,AXP,BA,GOOGL,HON,KO,MSFT,SPY,UNH
1,0.149131374,-0.13255209,0.118661011,0.015107167,-0.024643363,-0.023018534,-0.136013607,-0.029109654,0.054276653
2,0.043048819,-0.006574955,0.031382546,0.057177738,0.030169393,0.041115629,0.062257729,0.043284499,0.059092142
3,-0.035160499,-0.04766544,-0.024187262,-0.035337914,-0.00258177,-0.061342637,-0.073381972,-0.026227708,0.034003487
4,0.139145432,-0.01875083,-0.03565664,-0.001310251,-0.02247192,-0.002949828,0.194498964,0.013417647,-0.05151124
5,0.015040121,0.026261599,-0.028685934,-0.010595773,0.016585365,0.001222171,-0.036991348,0.001993157,0.061925814
6,0.007356314,-0.022020888,-0.017911497,-0.016696789,-0.020086296,-0.041768418,-0.065212746,-0.026846943,0.017854155
7,0.225793927,-0.029846989,0.024443986,0.210196971,0.021489672,0.040000051,0.050618672,0.013874789,-0.016047942
8,-0.041380881,0.009739378,-0.090542201,-0.025424186,-0.051862422,-0.053442488,-0.070284147,-0.058122363,-0.042931608
9,0.030913936,0.001756716,0.027542333,0.013993896,-0.013236337,0.035354813,0.058345242,-0.000938666,0.030009812
10,0.201989666,-0.008526147,0.133680468,0.148582578,0.090486706,0.064070328,0.180004434,0.082235921,0.010033428
11,0.058009093,-0.031106342,-0.019878687,0.02020754,-0.002207737,0.008996141,0.02084891,-0.008080218,-0.050383376
12,-0.004668193,-0.03670352,-0.0213213,-0.007374384,-0.005570667,0.001632082,0.004708421,-0.032323895,0.011869921
13,-0.078478455,-0.208462744,-0.144982228,0.002514977,0.006142187,0.012264056,0.005291989,-0.036314809,-0.011162588
14,-0.038777993,0.016087769,-0.027805183,-0.06947604,-0.014871702,0.003023279,-0.070005448,-0.000464735,0.027698671
15,0.025214212,0.08098597,0.058186088,0.027931662,0.058373444,0.06179904,0.050399351,0.037403478,0.059422998
16,0.102071891,0.070867465,0.061751765,-0.080281133,0.009184834,-0.043348343,-0.102573349,-0.002851324,0.01354676
17,0.056942317,0.001218057,-0.058652289,0.048207618,-0.00732539,-0.008448244,0.047223848,0.008991657,0.011884875
18,-0.005309695,-0.07813694,0.02737118,-0.060029917,0.020888152,0.014093982,-0.031788081,-0.003757112,0.049580005
19,0.045653739,0.062118966,0.030611473,0.114171105,-0.001459221,-0.033023006,0.107896794,0.034298767,0.016612211
20,0.001849562,0.022610402,-0.028226183,-0.013846263,0.007162577,-0.000460322,0.015553145,0.002028224,-0.051982386
21,0.086540712,-0.012642615,0.014164827,0.015996934,0.003961111,-0.023760047,0.000173607,-0.005014012,0.031383489
22,-0.056074747,0.040902632,0.075917719,0.011894374,-0.054890158,0.008803307,0.043538838,-0.014968931,0.020506873
23,-0.044358955,0.087396242,0.057229083,-0.036748244,0.043884562,-0.042022817,0.007692291,0.044405527,0.135480276
24,0.008364111,0.021370509,0.021589304,0.036790384,0.019178324,0.032113544,0.049662128,0.018035214,-0.005592202
25,0.092626745,0.013669529,0.041090635,0.015074061,0.018419694,-0.005502369,0.03307766,0.010166906,0.00402607
26,0.015245993,0.042991088,0.09916445,0.036418727,0.055084746,0.016965609,0.006291255,0.038880618,0.01640955
27,0.039222535,-0.034301722,-0.038333983,-0.010446469,-0.018703316,0.006641343,0.014166907,-0.016848753,-0.023401256
28,0.037554239,0.008398066,0.046306302,0.079101278,0.054773561,0.017448762,0.04439353,0.011685718,0.056102477
29,0.048922747,-0.028903205,0.028729678,0.058178448,0.015966471,0.052059231,0.006194957,0.011563638,0.003379329
30,-0.02806367,0.076136933,0.05568008,-0.059304441,-0.001198981,-0.020528565,-0.016690414,-0.006410248,0.032520303
31,0.03577801,0.001527673,0.220907457,0.028320946,0.018023991,0.024128732,0.066451506,0.018826625,0.027645348
32,-0.015649651,0.01008916,0.000918819,0.009170039,0.009196475,-0.003282319,0.030173532,0.00068736,0.034698008
33,-0.017275772,0.050150918,0.057753942,0.02282585,0.029862674,-0.016819594,0.007438409,0.01367818,-0.019524375
34,0.152305619,0.055003269,0.007773764,0.067774784,0.01051451,0.026339309,0.114863944,0.019142307,0.064728519
35,0.066205732,0.020043825,0.07079299,-0.006167209,0.076105806,-0.000655,0.011901875,0.029205096,0.088961004
